date/time,script,user,action,table,field,"key value","old value","new value"
"2021-06-09 10:03:44",/bsd/logout,1,logout,::1,,,,
"2021-06-09 10:03:51",/bsd/login,18,login,::1,,,,
"2021-06-09 10:21:39",/bsd/logout,18,logout,::1,,,,
"2021-06-09 10:21:44",/bsd/login,18,login,::1,,,,
"2021-06-09 10:27:51",/bsd/login,18,login,::1,,,,
"2021-06-09 10:39:31",/bsd/logout,18,logout,::1,,,,
"2021-06-09 10:41:27",/bsd/logout,18,logout,::1,,,,
"2021-06-09 10:41:33",/bsd/login,1,login,::1,,,,
"2021-06-09 10:51:54",/bsd/login,18,login,::1,,,,
"2021-06-09 11:18:59",/bsd/logout,18,logout,::1,,,,
"2021-06-09 11:19:04",/bsd/login,18,login,::1,,,,
"2021-06-09 12:58:43",/bsd/logout,18,logout,::1,,,,
"2021-06-09 12:58:50",/bsd/login,18,login,::1,,,,
"2021-06-09 12:59:15",/bsd/logout,18,logout,::1,,,,
"2021-06-09 12:59:21",/bsd/login,18,login,::1,,,,
"2021-06-09 13:00:42",/bsd/logout,18,logout,::1,,,,
"2021-06-09 13:00:48",/bsd/login,18,login,::1,,,,
"2021-06-09 13:01:07",/bsd/logout,18,logout,::1,,,,
"2021-06-09 13:01:13",/bsd/login,18,login,::1,,,,
"2021-06-09 13:29:07",/bsd/logout,18,logout,::1,,,,
"2021-06-09 13:29:13",/bsd/login,18,login,::1,,,,
"2021-06-09 13:31:59",/bsd/logout,18,logout,::1,,,,
"2021-06-09 13:32:05",/bsd/login,18,login,::1,,,,
"2021-06-09 13:58:27",/bsd/logout,18,logout,::1,,,,
"2021-06-09 13:58:32",/bsd/login,18,login,::1,,,,
"2021-06-09 14:09:20",/bsd/logout,18,logout,::1,,,,
"2021-06-09 14:09:28",/bsd/login,18,login,::1,,,,
"2021-06-09 14:33:52",/bsd/logout,18,logout,::1,,,,
"2021-06-09 14:34:00",/bsd/login,18,login,::1,,,,
"2021-06-09 15:08:46",/bsd/logout,18,logout,::1,,,,
"2021-06-09 15:09:19",/bsd/login,18,login,::1,,,,
"2021-06-09 16:31:52",/bsd/logout,18,logout,::1,,,,
"2021-06-09 16:31:58",/bsd/login,18,login,::1,,,,
"2021-06-09 16:41:19",/bsd/logout,18,logout,::1,,,,
"2021-06-09 16:41:24",/bsd/login,18,login,::1,,,,
"2021-06-09 16:45:14",/bsd/logout,18,logout,::1,,,,
"2021-06-09 16:45:25",/bsd/login,18,login,::1,,,,
"2021-06-09 16:53:07",/bsd/logout,18,logout,::1,,,,
"2021-06-09 16:53:12",/bsd/login,18,login,::1,,,,
"2021-06-09 16:59:12",/bsd/logout,18,logout,::1,,,,
"2021-06-09 16:59:17",/bsd/login,18,login,::1,,,,
"2021-06-09 17:24:51",/bsd/logout,18,logout,::1,,,,
"2021-06-09 17:24:56",/bsd/login,18,login,::1,,,,
"2021-06-09 19:36:16",/bsd/logout,18,logout,::1,,,,
"2021-06-09 19:36:22",/bsd/login,1,login,::1,,,,
"2021-06-09 20:02:49",/bsd/logout,1,logout,::1,,,,
